PassengerId,Survived,Pclass,Ticket,Fare
1,0,3,A/5 21171,7.25
2,1,1,PC 17599,71.2833
3,1,3,STON/O2. 3101282,7.925
4,1,1,113803,53.1
5,0,3,373450,8.05
6,0,3,330877,8.4583
7,0,1,17463,51.8625
8,0,3,349909,21.075
9,1,3,347742,11.1333
10,1,2,237736,30.0708
11,1,3,PP 9549,16.7
12,1,1,113783,26.55
13,0,3,A/5. 2151,8.05
14,0,3,347082,31.275
15,0,3,350406,7.8542
16,1,2,248706,16
17,0,3,382652,29.125
18,1,2,244373,13
19,0,3,345763,18
20,1,3,2649,7.225
21,0,2,239865,26
22,1,2,248698,13
23,1,3,330923,8.0292
24,1,1,113788,35.5
25,0,3,349909,21.075
26,1,3,347077,31.3875
27,0,3,2631,7.225
28,0,1,19950,263
29,1,3,330959,7.8792
30,0,3,349216,7.8958
31,0,1,PC 17601,27.7208
32,1,1,PC 17569,146.5208
33,1,3,335677,7.75
34,0,2,C.A. 24579,10.5
35,0,1,PC 17604,82.1708
36,0,1,113789,52
37,1,3,2677,7.2292
38,0,3,A./5. 2152,8.05
39,0,3,345764,18
40,1,3,2651,11.2417
41,0,3,7546,9.475
42,0,2,11668,21
43,0,3,349253,7.8958
44,1,2,SC/Paris 2123,41.5792
45,1,3,330958,7.8792
46,0,3,S.C./A.4. 23567,8.05
47,0,3,370371,15.5
48,1,3,14311,7.75
49,0,3,2662,21.6792
50,0,3,349237,17.8
51,0,3,3101295,39.6875
52,0,3,A/4. 39886,7.8
53,1,1,PC 17572,76.7292
54,1,2,2926,26
55,0,1,113509,61.9792
56,1,1,19947,35.5
57,1,2,C.A. 31026,10.5
58,0,3,2697,7.2292
59,1,2,C.A. 34651,27.75
60,0,3,CA 2144,46.9
61,0,3,2669,7.2292
62,1,1,113572,80
63,0,1,36973,83.475
64,0,3,347088,27.9
65,0,1,PC 17605,27.7208
66,1,3,2661,15.2458
67,1,2,C.A. 29395,10.5
68,0,3,S.P. 3464,8.1583
69,1,3,3101281,7.925
70,0,3,315151,8.6625
71,0,2,C.A. 33111,10.5
72,0,3,CA 2144,46.9
73,0,2,S.O.C. 14879,73.5
74,0,3,2680,14.4542
75,1,3,1601,56.4958
76,0,3,348123,7.65
77,0,3,349208,7.8958
78,0,3,374746,8.05
79,1,2,248738,29
80,1,3,364516,12.475
81,0,3,345767,9
82,1,3,345779,9.5
83,1,3,330932,7.7875
84,0,1,113059,47.1
85,1,2,SO/C 14885,10.5
86,1,3,3101278,15.85
87,0,3,W./C. 6608,34.375
88,0,3,SOTON/OQ 392086,8.05
89,1,1,19950,263
90,0,3,343275,8.05
91,0,3,343276,8.05
92,0,3,347466,7.8542
93,0,1,W.E.P. 5734,61.175
94,0,3,C.A. 2315,20.575
95,0,3,364500,7.25
96,0,3,374910,8.05
97,0,1,PC 17754,34.6542
98,1,1,PC 17759,63.3583
99,1,2,231919,23
100,0,2,244367,26
101,0,3,349245,7.8958
102,0,3,349215,7.8958
103,0,1,35281,77.2875
104,0,3,7540,8.6542
105,0,3,3101276,7.925
106,0,3,349207,7.8958
107,1,3,343120,7.65
108,1,3,312991,7.775
109,0,3,349249,7.8958
110,1,3,371110,24.15
111,0,1,110465,52
112,0,3,2665,14.4542
113,0,3,324669,8.05
114,0,3,4136,9.825
115,0,3,2627,14.4583
116,0,3,STON/O 2. 3101294,7.925
117,0,3,370369,7.75
118,0,2,11668,21
119,0,1,PC 17558,247.5208
120,0,3,347082,31.275
121,0,2,S.O.C. 14879,73.5
122,0,3,A4. 54510,8.05
123,0,2,237736,30.0708
124,1,2,27267,13
125,0,1,35281,77.2875
126,1,3,2651,11.2417
127,0,3,370372,7.75
128,1,3,C 17369,7.1417
129,1,3,2668,22.3583
130,0,3,347061,6.975
131,0,3,349241,7.8958
132,0,3,SOTON/O.Q. 3101307,7.05
133,0,3,A/5. 3337,14.5
134,1,2,228414,26
135,0,2,C.A. 29178,13
136,0,2,SC/PARIS 2133,15.0458
137,1,1,11752,26.2833
138,0,1,113803,53.1
139,0,3,7534,9.2167
140,0,1,PC 17593,79.2
141,0,3,2678,15.2458
142,1,3,347081,7.75
143,1,3,STON/O2. 3101279,15.85
144,0,3,365222,6.75
145,0,2,231945,11.5
146,0,2,C.A. 33112,36.75
147,1,3,350043,7.7958
148,0,3,W./C. 6608,34.375
149,0,2,230080,26
150,0,2,244310,13
151,0,2,S.O.P. 1166,12.525
152,1,1,113776,66.6
153,0,3,A.5. 11206,8.05
154,0,3,A/5. 851,14.5
155,0,3,Fa 265302,7.3125
156,0,1,PC 17597,61.3792
157,1,3,35851,7.7333
158,0,3,SOTON/OQ 392090,8.05
159,0,3,315037,8.6625
160,0,3,CA. 2343,69.55
161,0,3,371362,16.1
162,1,2,C.A. 33595,15.75
163,0,3,347068,7.775
164,0,3,315093,8.6625
165,0,3,3101295,39.6875
166,1,3,363291,20.525
167,1,1,113505,55
168,0,3,347088,27.9
169,0,1,PC 17318,25.925
170,0,3,1601,56.4958
171,0,1,111240,33.5
172,0,3,382652,29.125
173,1,3,347742,11.1333
174,0,3,STON/O 2. 3101280,7.925
175,0,1,17764,30.6958
176,0,3,350404,7.8542
177,0,3,4133,25.4667
178,0,1,PC 17595,28.7125
179,0,2,250653,13
180,0,3,LINE,0
181,0,3,CA. 2343,69.55
182,0,2,SC/PARIS 2131,15.05
183,0,3,347077,31.3875
184,1,2,230136,39
185,1,3,315153,22.025
186,0,1,113767,50
187,1,3,370365,15.5
188,1,1,111428,26.55
189,0,3,364849,15.5
190,0,3,349247,7.8958
191,1,2,234604,13
192,0,2,28424,13
193,1,3,350046,7.8542
194,1,2,230080,26
195,1,1,PC 17610,27.7208
196,1,1,PC 17569,146.5208
197,0,3,368703,7.75
198,0,3,4579,8.4042
199,1,3,370370,7.75
200,0,2,248747,13
201,0,3,345770,9.5
202,0,3,CA. 2343,69.55
203,0,3,3101264,6.4958
204,0,3,2628,7.225
205,1,3,A/5 3540,8.05
206,0,3,347054,10.4625
207,0,3,3101278,15.85
208,1,3,2699,18.7875
209,1,3,367231,7.75
210,1,1,112277,31
211,0,3,SOTON/O.Q. 3101311,7.05
212,1,2,F.C.C. 13528,21
213,0,3,A/5 21174,7.25
214,0,2,250646,13
215,0,3,367229,7.75
216,1,1,35273,113.275
217,1,3,STON/O2. 3101283,7.925
218,0,2,243847,27
219,1,1,11813,76.2917
220,0,2,W/C 14208,10.5
221,1,3,SOTON/OQ 392089,8.05
222,0,2,220367,13
223,0,3,21440,8.05
224,0,3,349234,7.8958
225,1,1,19943,90
226,0,3,PP 4348,9.35
227,1,2,SW/PP 751,10.5
228,0,3,A/5 21173,7.25
229,0,2,236171,13
230,0,3,4133,25.4667
231,1,1,36973,83.475
232,0,3,347067,7.775
233,0,2,237442,13.5
234,1,3,347077,31.3875
235,0,2,C.A. 29566,10.5
236,0,3,W./C. 6609,7.55
237,0,2,26707,26
238,1,2,C.A. 31921,26.25
239,0,2,28665,10.5
240,0,2,SCO/W 1585,12.275
241,0,3,2665,14.4542
242,1,3,367230,15.5
243,0,2,W./C. 14263,10.5
244,0,3,STON/O 2. 3101275,7.125
245,0,3,2694,7.225
246,0,1,19928,90
247,0,3,347071,7.775
248,1,2,250649,14.5
249,1,1,11751,52.5542
250,0,2,244252,26
251,0,3,362316,7.25
252,0,3,347054,10.4625
253,0,1,113514,26.55
254,0,3,A/5. 3336,16.1
255,0,3,370129,20.2125
256,1,3,2650,15.2458
257,1,1,PC 17585,79.2
258,1,1,110152,86.5
259,1,1,PC 17755,512.3292
260,1,2,230433,26
261,0,3,384461,7.75
262,1,3,347077,31.3875
263,0,1,110413,79.65
264,0,1,112059,0
265,0,3,382649,7.75
266,0,2,C.A. 17248,10.5
267,0,3,3101295,39.6875
268,1,3,347083,7.775
269,1,1,PC 17582,153.4625
270,1,1,PC 17760,135.6333
271,0,1,113798,31
272,1,3,LINE,0
273,1,2,250644,19.5
274,0,1,PC 17596,29.7
275,1,3,370375,7.75
276,1,1,13502,77.9583
277,0,3,347073,7.75
278,0,2,239853,0
279,0,3,382652,29.125
