bootcamp_id,modulo_id,puntuacion
1,1,1
1,2,4
1,3,7
1,4,10
1,5,10
1,6,6
1,7,1
2,1,8
2,2,4
2,3,3
2,4,4
2,5,9
2,6,10
2,7,5
3,1,4
3,2,1
3,3,7
3,4,2
3,5,6
3,6,7
3,7,5
4,1,8
4,2,4
4,3,9
4,4,10
4,5,10
4,6,5
4,7,5
5,1,10
5,2,8
5,3,3
5,4,9
5,5,4
5,6,1
5,7,6
6,1,9
6,2,6
6,3,5
6,4,6
6,5,3
6,6,9
6,7,2
7,1,1
7,2,4
7,3,1
7,4,8
7,5,3
7,6,7
7,7,10
8,1,6
8,2,5
8,3,6
8,4,8
8,5,3
8,6,4
8,7,4
9,1,10
9,2,3
9,3,8
9,4,8
9,5,8
9,6,9
9,7,10
10,1,3
10,2,8
10,3,1
10,4,4
10,5,9
10,6,10
10,7,8
11,1,4
11,2,5
11,3,10
11,4,9
11,5,5
11,6,9
11,7,3
12,1,3
12,2,6
12,3,5
12,4,8
12,5,6
12,6,4
12,7,2
13,1,1
13,2,9
13,3,2
13,4,7
13,5,4
13,6,3
13,7,5
14,1,10
14,2,5
14,3,2
14,4,8
14,5,3
14,6,6
14,7,9
15,1,8
15,2,4
15,3,10
15,4,8
15,5,5
15,6,4
15,7,10
16,1,10
16,2,10
16,3,7
16,4,6
16,5,7
16,6,4
16,7,9
17,1,5
17,2,6
17,3,9
17,4,2
17,5,3
17,6,1
17,7,4
18,1,6
18,2,8
18,3,10
18,4,3
18,5,10
18,6,9
18,7,9
19,1,2
19,2,7
19,3,6
19,4,2
19,5,1
19,6,7
19,7,8
20,1,6
20,2,10
20,3,2
20,4,5
20,5,7
20,6,6
20,7,10
21,1,6
21,2,5
21,3,3
21,4,1
21,5,7
21,6,4
21,7,4
22,1,6
22,2,2
22,3,6
22,4,5
22,5,10
22,6,4
22,7,5
23,1,4
23,2,4
23,3,2
23,4,8
23,5,10
23,6,3
23,7,4
24,1,1
24,2,10
24,3,10
24,4,10
24,5,2
24,6,2
24,7,6
25,1,4
25,2,5
25,3,8
25,4,2
25,5,7
25,6,8
25,7,2
26,1,8
26,2,9
26,3,2
26,4,6
26,5,3
26,6,4
26,7,6
27,1,9
27,2,4
27,3,1
27,4,6
27,5,8
27,6,6
27,7,9
28,1,8
28,2,6
28,3,7
28,4,1
28,5,8
28,6,6
28,7,1
29,1,7
29,2,5
29,3,7
29,4,2
29,5,4
29,6,6
29,7,5
30,1,3
30,2,4
30,3,5
30,4,5
30,5,7
30,6,1
30,7,9
31,1,2
31,2,6
31,3,4
31,4,6
31,5,10
31,6,3
31,7,10
32,1,10
32,2,3
32,3,2
32,4,7
32,5,2
32,6,5
32,7,5
33,1,3
33,2,1
33,3,8
33,4,4
33,5,5
33,6,7
33,7,1
34,1,4
34,2,8
34,3,3
34,4,7
34,5,7
34,6,2
34,7,5
35,1,8
35,2,5
35,3,1
35,4,9
35,5,10
35,6,4
35,7,4
36,1,3
36,2,2
36,3,7
36,4,9
36,5,10
36,6,2
36,7,4
37,1,9
37,2,7
37,3,2
37,4,8
37,5,10
37,6,3
37,7,8
38,1,1
38,2,10
38,3,10
38,4,9
38,5,5
38,6,1
38,7,3
39,1,8
39,2,1
39,3,9
39,4,2
39,5,9
39,6,8
39,7,8
40,1,7
40,2,1
40,3,1
40,4,10
40,5,5
40,6,7
40,7,6
41,1,7
41,2,9
41,3,4
41,4,9
41,5,2
41,6,2
41,7,4
42,1,1
42,2,7
42,3,1
42,4,9
42,5,6
42,6,6
42,7,10
43,1,6
43,2,10
43,3,5
43,4,5
43,5,6
43,6,9
43,7,5
44,1,7
44,2,5
44,3,9
44,4,3
44,5,4
44,6,1
44,7,9
45,1,8
45,2,5
45,3,4
45,4,5
45,5,10
45,6,3
45,7,5
46,1,10
46,2,4
46,3,7
46,4,1
46,5,6
46,6,9
46,7,6
47,1,6
47,2,7
47,3,6
47,4,5
47,5,3
47,6,9
47,7,3
48,1,1
48,2,8
48,3,6
48,4,6
48,5,6
