date,GBP
2009-12-31,0.8881
2010-01-04,0.8914
2010-01-05,0.90045
2010-01-06,0.8986
2010-01-07,0.8996
2010-01-08,0.8934
2010-01-11,0.8989
2010-01-12,0.8972
2010-01-13,0.8946
2010-01-14,0.8905
2010-01-15,0.88105
2010-01-18,0.8795
2010-01-19,0.8743
2010-01-20,0.8692
2010-01-21,0.87
2010-01-22,0.8763
2010-01-25,0.8773
2010-01-26,0.8733
2010-01-27,0.86725
2010-01-28,0.8616
2010-01-29,0.86655
2010-02-01,0.87485
2010-02-02,0.87375
2010-02-03,0.8762
2010-02-04,0.8731
2010-02-05,0.87325
2010-02-08,0.8761
2010-02-09,0.8804
2010-02-10,0.8798
2010-02-11,0.8775
2010-02-12,0.8691
2010-02-15,0.8676
2010-02-16,0.8705
2010-02-17,0.869
2010-02-18,0.8704
2010-02-19,0.8783
2010-02-22,0.8797
2010-02-23,0.8802
2010-02-24,0.8775
2010-02-25,0.8809
2010-02-26,0.8927
2010-03-01,0.9067
2010-03-02,0.90635
2010-03-03,0.9057
2010-03-04,0.905
2010-03-05,0.9025
2010-03-08,0.9024
2010-03-09,0.9064
2010-03-10,0.9114
2010-03-11,0.9086
2010-03-12,0.9083
2010-03-15,0.9105
2010-03-16,0.9069
2010-03-17,0.8962
2010-03-18,0.894
2010-03-19,0.8945
2010-03-22,0.899
2010-03-23,0.9005
2010-03-24,0.8946
2010-03-25,0.8944
2010-03-26,0.9004
2010-03-29,0.8994
2010-03-30,0.8933
2010-03-31,0.8898
2010-04-01,0.88485
2010-04-06,0.8824
2010-04-07,0.87885
2010-04-08,0.875
2010-04-09,0.872
2010-04-12,0.8825
2010-04-13,0.8812
2010-04-14,0.8814
2010-04-15,0.87735
2010-04-16,0.8771
2010-04-19,0.8805
2010-04-20,0.8765
2010-04-21,0.869
2010-04-22,0.86675
2010-04-23,0.8673
2010-04-26,0.8624
2010-04-27,0.86705
2010-04-28,0.8708
2010-04-29,0.86785
2010-04-30,0.8703
2010-05-03,0.868
2010-05-04,0.86325
2010-05-05,0.8551
2010-05-06,0.84295
2010-05-07,0.86805
2010-05-10,0.86405
2010-05-11,0.8596
2010-05-12,0.8494
2010-05-13,0.853
2010-05-14,0.8571
2010-05-17,0.8554
2010-05-18,0.85895
2010-05-19,0.85805
2010-05-20,0.8644
2010-05-21,0.87035
2010-05-24,0.8608
2010-05-25,0.85205
2010-05-26,0.8547
2010-05-27,0.84625
2010-05-28,0.84995
2010-05-31,0.84863
2010-06-01,0.8347
2010-06-02,0.83345
2010-06-03,0.8357
2010-06-04,0.82745
2010-06-07,0.8246
2010-06-08,0.82805
2010-06-09,0.8259
2010-06-10,0.8252
2010-06-11,0.8293
2010-06-14,0.8308
2010-06-15,0.832
2010-06-16,0.83085
2010-06-17,0.8349
2010-06-18,0.8357
2010-06-21,0.8341
2010-06-22,0.834
2010-06-23,0.8229
2010-06-24,0.8185
2010-06-25,0.8236
2010-06-28,0.82
2010-06-29,0.8104
2010-06-30,0.81745
2010-07-01,0.82215
2010-07-02,0.8252
2010-07-05,0.8275
2010-07-06,0.8295
2010-07-07,0.8319
2010-07-08,0.8356
2010-07-09,0.836
2010-07-12,0.8363
2010-07-13,0.8318
2010-07-14,0.8343
2010-07-15,0.83565
2010-07-16,0.84535
2010-07-19,0.8483
2010-07-20,0.84745
2010-07-21,0.83945
2010-07-22,0.8428
2010-07-23,0.8372
2010-07-26,0.83425
2010-07-27,0.8382
