Arganzuela,Barajas,Carabanchel,Centro,Chamartín,Chamberí,Ciudad Lineal,Fuencarral,Hortaleza,Latina,Moncloa,Moratalaz,Puente de Vallecas,Retiro,Salamanca,San Blas,Tetuán,Usera,Vicálvaro,Villa de Vallecas,Villaverde
1 min,22 mins,15 mins,11 mins,18 mins,16 mins,15 mins,16 mins,19 mins,11 mins,12 mins,14 mins,11 mins,14 mins,16 mins,19 mins,22 mins,12 mins,16 mins,14 mins,17 mins
21 mins,1 min,27 mins,27 mins,16 mins,23 mins,13 mins,21 mins,10 mins,28 mins,22 mins,17 mins,20 mins,19 mins,21 mins,15 mins,19 mins,23 mins,18 mins,17 mins,26 mins
16 mins,28 mins,1 min,21 mins,27 mins,24 mins,23 mins,24 mins,27 mins,12 mins,18 mins,22 mins,20 mins,24 mins,27 mins,27 mins,29 mins,14 mins,23 mins,19 mins,20 mins
8 mins,27 mins,20 mins,1 min,23 mins,15 mins,20 mins,12 mins,24 mins,14 mins,16 mins,19 mins,16 mins,17 mins,17 mins,24 mins,23 mins,17 mins,21 mins,19 mins,22 mins
20 mins,16 mins,28 mins,22 mins,1 min,14 mins,16 mins,14 mins,12 mins,26 mins,18 mins,18 mins,19 mins,18 mins,16 mins,19 mins,10 mins,22 mins,20 mins,20 mins,26 mins
15 mins,24 mins,23 mins,17 mins,17 mins,1 min,16 mins,6 mins,24 mins,18 mins,10 mins,22 mins,20 mins,19 mins,13 mins,24 mins,14 mins,20 mins,23 mins,23 mins,25 mins
19 mins,18 mins,26 mins,25 mins,14 mins,21 mins,1 min,20 mins,14 mins,25 mins,24 mins,16 mins,17 mins,17 mins,19 mins,12 mins,22 mins,20 mins,18 mins,18 mins,25 mins
17 mins,25 mins,26 mins,17 mins,18 mins,10 mins,16 mins,1 min,23 mins,21 mins,16 mins,19 mins,20 mins,17 mins,10 mins,21 mins,15 mins,22 mins,21 mins,20 mins,27 mins
18 mins,12 mins,25 mins,24 mins,10 mins,20 mins,13 mins,19 mins,1 min,25 mins,19 mins,15 mins,17 mins,16 mins,18 mins,12 mins,16 mins,20 mins,16 mins,15 mins,24 mins
13 mins,28 mins,14 mins,16 mins,24 mins,20 mins,21 mins,20 mins,25 mins,1 min,16 mins,20 mins,17 mins,21 mins,25 mins,25 mins,25 mins,19 mins,22 mins,20 mins,23 mins
12 mins,25 mins,20 mins,14 mins,21 mins,11 mins,21 mins,12 mins,21 mins,15 mins,1 min,20 mins,17 mins,21 mins,21 mins,24 mins,18 mins,17 mins,22 mins,20 mins,22 mins
11 mins,16 mins,19 mins,17 mins,11 mins,19 mins,8 mins,17 mins,12 mins,18 mins,18 mins,1 min,10 mins,9 mins,12 mins,12 mins,17 mins,13 mins,9 mins,10 mins,17 mins
12 mins,19 mins,19 mins,17 mins,15 mins,21 mins,11 mins,21 mins,16 mins,21 mins,18 mins,10 mins,1 min,11 mins,16 mins,15 mins,21 mins,13 mins,13 mins,14 mins,18 mins
12 mins,20 mins,21 mins,13 mins,16 mins,21 mins,12 mins,16 mins,17 mins,21 mins,21 mins,9 mins,13 mins,1 min,10 mins,16 mins,22 mins,16 mins,13 mins,14 mins,20 mins
13 mins,20 mins,21 mins,13 mins,13 mins,11 mins,12 mins,8 mins,18 mins,22 mins,17 mins,14 mins,15 mins,12 mins,1 min,16 mins,16 mins,18 mins,16 mins,15 mins,23 mins
20 mins,18 mins,27 mins,25 mins,19 mins,25 mins,11 mins,23 mins,15 mins,29 mins,26 mins,15 mins,18 mins,17 mins,18 mins,1 min,25 mins,21 mins,16 mins,17 mins,25 mins
21 mins,19 mins,29 mins,22 mins,6 mins,12 mins,16 mins,14 mins,13 mins,23 mins,15 mins,19 mins,20 mins,20 mins,15 mins,21 mins,1 min,23 mins,22 mins,21 mins,28 mins
10 mins,25 mins,13 mins,17 mins,20 mins,20 mins,17 mins,21 mins,21 mins,15 mins,17 mins,16 mins,13 mins,17 mins,21 mins,20 mins,26 mins,1 min,18 mins,16 mins,14 mins
18 mins,17 mins,22 mins,22 mins,18 mins,25 mins,14 mins,24 mins,16 mins,25 mins,25 mins,12 mins,18 mins,15 mins,18 mins,15 mins,24 mins,19 mins,1 min,7 mins,21 mins
14 mins,16 mins,18 mins,20 mins,17 mins,23 mins,14 mins,24 mins,15 mins,22 mins,20 mins,12 mins,13 mins,14 mins,18 mins,15 mins,24 mins,15 mins,9 mins,1 min,16 mins
13 mins,24 mins,14 mins,19 mins,23 mins,23 mins,19 mins,23 mins,23 mins,18 mins,20 mins,18 mins,16 mins,19 mins,23 mins,23 mins,29 mins,13 mins,19 mins,15 mins,1 min
