Age,Pclass,Ticket,Sibsp,Parch,Sex_female,Sex_male,Log_Fare,Embark_Town_Cherbourg,Embark_Town_Queenstown,Embark_Town_Southampton,Survived
21.999999999999996,3.0,1.0,1.0,0.0,0.0,1.0,2.1102132003465894,1.0,0.0,0.0,0.0
38.0,1.0,1.0,0.0,0.0,1.0,0.0,4.2805931204649,0.0,0.0,1.0,1.0
26.0,3.0,1.0,1.0,0.0,1.0,0.0,2.188856327665703,0.0,0.0,1.0,1.0
35.0,1.0,2.0,0.0,0.0,1.0,0.0,3.9908341858524357,0.0,0.0,1.0,1.0
35.0,3.0,1.0,0.0,0.0,0.0,1.0,2.2027647577118348,0.0,1.0,0.0,0.0
31.666666666666668,3.0,1.0,0.0,0.0,0.0,1.0,2.246892662898172,0.0,0.0,1.0,0.0
54.0,1.0,1.0,3.0,1.0,0.0,1.0,3.967694202798607,0.0,0.0,1.0,0.0
2.0,3.0,4.0,0.0,2.0,0.0,1.0,3.0944457464900235,0.0,0.0,1.0,0.0
27.0,3.0,3.0,1.0,0.0,1.0,0.0,2.495953738718064,1.0,0.0,0.0,1.0
14.0,2.0,2.0,1.0,1.0,1.0,0.0,3.4362684713837415,0.0,0.0,1.0,1.0
4.0,3.0,2.0,0.0,0.0,1.0,0.0,2.8735646395797834,0.0,0.0,1.0,1.0
58.00000000000001,1.0,1.0,0.0,0.0,1.0,0.0,3.316002535598923,0.0,0.0,1.0,1.0
20.0,3.0,1.0,1.0,5.0,0.0,1.0,2.2027647577118348,0.0,0.0,1.0,0.0
39.0,3.0,6.999999999999999,0.0,0.0,0.0,1.0,3.4742929367327062,0.0,0.0,1.0,0.0
14.0,3.0,1.0,0.0,0.0,1.0,0.0,2.180891922715322,0.0,0.0,1.0,0.0
55.0,2.0,1.0,4.0,1.0,1.0,0.0,2.833213344056216,0.0,1.0,0.0,1.0
2.0,3.0,5.0,0.0,0.0,0.0,1.0,3.405355391810819,0.0,0.0,1.0,0.0
37.333333333333336,2.0,1.0,1.0,0.0,0.0,1.0,2.6390573296152584,0.0,0.0,1.0,1.0
31.0,3.0,1.0,0.0,0.0,1.0,0.0,2.9444389791664403,1.0,0.0,0.0,0.0
19.666666666666668,3.0,1.0,0.0,0.0,1.0,0.0,2.1071782966514356,0.0,0.0,1.0,1.0
35.0,2.0,2.0,0.0,0.0,0.0,1.0,3.295836866004329,0.0,0.0,1.0,0.0
34.0,2.0,1.0,0.0,0.0,0.0,1.0,2.6390573296152584,0.0,1.0,0.0,1.0
15.0,3.0,1.0,0.0,0.0,1.0,0.0,2.2004637699272855,0.0,0.0,1.0,1.0
28.0,1.0,1.0,3.0,1.0,0.0,1.0,3.597312260588446,0.0,0.0,1.0,1.0
8.0,3.0,4.0,1.0,5.0,1.0,0.0,3.0944457464900235,0.0,0.0,1.0,0.0
38.0,3.0,4.0,0.0,0.0,1.0,0.0,3.477772545888228,1.0,0.0,0.0,1.0
27.66666666666667,3.0,1.0,3.0,2.0,0.0,1.0,2.1071782966514356,0.0,0.0,1.0,0.0
19.0,1.0,4.0,0.0,0.0,0.0,1.0,5.575949103146316,0.0,1.0,0.0,0.0
21.0,3.0,1.0,0.0,0.0,1.0,0.0,2.1837114628556327,0.0,0.0,1.0,1.0
21.666666666666668,3.0,1.0,0.0,0.0,0.0,1.0,2.1855792552411137,1.0,0.0,0.0,0.0
40.0,1.0,1.0,1.0,0.0,0.0,1.0,3.3576215989452787,1.0,0.0,0.0,0.0
41.33333333333334,1.0,2.0,0.0,0.0,1.0,0.0,4.993969182787072,0.0,1.0,0.0,1.0
20.0,3.0,1.0,0.0,0.0,1.0,0.0,2.169053700369523,0.0,0.0,1.0,1.0
28.0,1.0,2.0,1.0,0.0,0.0,1.0,4.420896324687287,0.0,0.0,1.0,0.0
42.0,1.0,2.0,0.0,0.0,0.0,1.0,3.9702919135521215,1.0,0.0,0.0,0.0
26.0,3.0,1.0,0.0,0.0,0.0,1.0,2.1076888046179385,0.0,0.0,1.0,1.0
21.0,3.0,1.0,2.0,0.0,0.0,1.0,2.2027647577118348,0.0,0.0,1.0,0.0
